furniture,type,rate,delivery,sale,price
150,264,0.0,172.14,0.3,4000.0
170,264,0.0,172.14,0.55,1850.0
171,264,0.0,172.14,0.17,2946.0
172,264,0.0,52.44,0.25,199.0
61,264,0.0,52.44,0.48,2000.0
173,264,0.0,172.14,0.17,2604.0
174,190,0.0,52.44,0.35,1850.0
111,118,0.0,52.44,0.0,820.0
175,245,5.0,52.44,0.24,10000.0
176,158,3.0,172.14,0.59,2550.0
74,25,5.0,172.14,0.11,6500.0
150,264,0.0,172.14,0.3,4000.0
177,264,0.0,52.44,0.0,399.0
178,14,0.0,172.14,0.4,2999.0
179,264,0.0,52.44,0.54,6000.0
180,409,3.8,172.14,0.18,4000.0
181,264,0.0,172.14,0.24,4780.0
123,264,0.0,172.14,0.13,4500.0
182,245,0.0,172.14,0.56,2500.0
183,245,4.5,52.44,0.43,1500.0
65,264,0.0,52.44,0.0,860.0
184,264,3.5,172.14,0.2,5500.0
185,424,0.0,172.14,0.17,3000.0
111,118,5.0,52.44,0.0,820.0
186,282,0.0,52.44,0.34,1600.0
187,446,5.0,52.44,0.15,650.0
188,534,0.0,52.44,0.17,546.0
189,487,0.0,10.83,0.26,1000.0
190,264,4.5,52.44,0.21,340.0
191,460,0.0,52.44,0.0,620.0
192,409,0.0,52.44,0.1,1000.0
193,348,0.0,234.89,0.5,986.24
194,446,0.0,52.44,0.18,600.0
121,409,0.0,172.14,0.14,7000.0
84,264,4.5,52.44,0.01,800.0
195,438,0.0,116.99,0.49,340.09
196,392,0.0,52.44,0.0,649.0
197,295,5.0,28.96,0.5,98.0
63,264,5.0,172.14,0.14,4999.0
5,137,0.0,52.44,0.54,1850.0
125,264,5.0,172.14,0.12,4599.0
198,264,0.0,52.44,0.36,6000.0
199,453,4.2,52.44,0.06,3500.0
200,264,0.0,22.23,0.17,228.0
6,134,0.0,172.14,0.5,1300.0
201,264,0.0,52.44,0.0,375.0
77,442,0.0,172.14,0.09,5500.0
64,118,2.0,52.44,0.0,670.0
54,264,4.3,10.83,0.13,759.0
202,409,0.0,172.14,0.11,9000.0
203,446,4.7,52.44,0.13,635.0
204,264,0.0,172.14,0.16,9500.0
205,264,0.0,172.14,0.5,2000.0
206,264,0.0,22.23,0.17,192.0
207,149,0.0,172.14,0.0,2925.0
208,264,0.0,52.44,0.41,850.0
209,178,0.0,52.44,0.34,1980.0
210,264,0.0,52.44,0.13,375.0
144,264,5.0,52.44,0.48,550.0
211,118,0.0,52.44,0.0,250.0
111,118,0.0,52.44,0.0,820.0
212,264,0.0,22.23,0.17,192.0
150,264,5.0,172.14,0.3,4000.0
213,12,0.0,172.14,0.33,2999.0
214,264,0.0,52.44,0.17,3450.0
215,207,5.0,172.14,0.0,3500.0
216,264,0.0,52.44,0.54,6000.0
217,245,0.0,172.14,0.31,4500.0
2,264,0.0,172.14,0.58,1200.0
67,264,0.0,172.14,0.44,2500.0
218,264,0.0,52.44,0.09,2200.0
219,264,0.0,52.44,0.1,50.0
220,264,0.0,172.14,0.24,1650.0
186,282,0.0,52.44,0.45,1700.0
221,34,0.0,52.44,0.0,2499.0
222,141,0.0,172.14,0.53,1900.0
223,267,0.0,52.44,0.23,1200.0
224,394,0.0,52.44,0.12,740.0
225,245,0.0,52.44,0.4,6000.0
